Название,Цена,Наличие,Ссылка
"Відеокарта Asus PCI-Ex GeForce RTX 3060 Dual OC V2 LHR 12GB GDDR6 (192bit) (1837/15000) (1 x HDMI, 3 x DisplayPort) (DUAL-RTX3060-O12G-V2)",13 679₴,Є в наявності,https://hard.rozetka.com.ua/ua/asus-dual-rtx3060-o12g-v2/p307875953/
"Відеокарта Gigabyte PCI-Ex GeForce RTX 3060 Gaming OC 12GB GDDR6 (192bit) (15000) (2 х HDMI, 2 x DisplayPort) LHR (GV-N3060GAMING OC-12GD 2.0)",13 899₴,Є в наявності,https://hard.rozetka.com.ua/ua/299109033/p299109033/
"Відеокарта Asus PCI-Ex GeForce GT 1030 Low Profile 2GB GDDR5 (64Bit) (1228/6008) (DisplayPort, HDMI) (GT1030-2G-BRK)",3 609₴,Є в наявності,https://hard.rozetka.com.ua/ua/asus_gt1030_2g_brk/p31665927/
"Відеокарта Palit PCI-Ex GeForce RTX 5070 Ti GameRock 16GB GDDR7 (256bit) (2452/28000) (HDMI, 3 x DisplayPort) (NE7507T019T2-GB2030G)",43 999₴,Є в наявності,https://hard.rozetka.com.ua/ua/palit-ne7507t019t2-gb2030g/p494833319/
"Відеокарта MSI PCI-Ex GeForce RTX 5060 Ti GAMING OC 16GB GDDR7 (128bit) (2662/28000) (HDMI, 3 x DisplayPort) (RTX 5060 Ti 16G GAMING OC)",,Є в наявності,https://hard.rozetka.com.ua/ua/msi-rtx-5060-ti-16g-gaming-oc/p506765089/
"Відеокарта Palit PCI-Ex GeForce RTX 5070 GamingPro 12GB GDDR7 (192bit) (2512/28000) (HDMI, 3 x DisplayPort) (NE75070019K9-GB2050A)",,Є в наявності,https://hard.rozetka.com.ua/ua/palit-ne75070019k9-gb2050a/p507950034/
"Відеокарта Palit PCI-Ex GeForce RTX 5070 Infinity 3 12GB GDDR7 (192bit) (2512/28000) (HDMI, 3 x DisplayPort) (NE75070019K9-GB2050S)",29 779₴,Є в наявності,https://hard.rozetka.com.ua/ua/palit-ne75070019k9-gb2050s/p503337849/
"Відеокарта INNO3D PCI-Ex GeForce RTX 4060 Twin X2 8GB GDDR6 (128bit) (2460/17000) (HDMI, 3 x DisplayPort) (N40602-08D6-173061N)",,Є в наявності,https://hard.rozetka.com.ua/ua/inno3d-n40602-08d6-173061n/p497925454/
"Відеокарта Gigabyte PCI-Ex GeForce RTX 5070 Gaming OC 12GB GDDR7 (192bit) (28000) (HDMI, 3 x DisplayPort) (GV-N5070GAMING OC-12GD)",34 499₴,Є в наявності,https://hard.rozetka.com.ua/ua/gigabyte-gv-n5070gaming-oc-12gd/p476638309/
"Відеокарта Asus PCI-Ex GeForce GT 1030 Low Profile 2GB GDDR5 (64bit) (1228/6008) (DVI, HDMI) (GT1030-SL-2G-BRK)",3 609₴,Є в наявності,https://hard.rozetka.com.ua/ua/asus_gt1030_sl_2g_brk/p17569975/
"Відеокарта Gigabyte PCI-Ex GeForce RTX 4060 Windforce OC 8GB GDDR6 (128bit) (2475/17000) (2 x HDMI, 2 x DisplayPort) (GV-N4060WF2OC-8GD)",,Є в наявності,https://hard.rozetka.com.ua/ua/gigabyte-gv-n4060wf2oc-8gd/p385179081/
"Відеокарта Arktek PCI-Ex Radeon RX 550 4GB GDDR5 (128bit) (1287/7000) (DVI, HDMI, DisplayPort) (AKR550D5S4GH1)",3 539₴,Є в наявності,https://hard.rozetka.com.ua/ua/arktek-aka550d5s4gh1/p327440617/
"Відеокарта ASUS PCI-Ex GeForce RTX 5060 Ti TUF Gaming OC Edition 8GB GDDR7 (128bit) (2692/28000) (HDMI, 3 x DisplayPort) (TUF-RTX5060TI-O8G-GAMING)",,Є в наявності,https://hard.rozetka.com.ua/ua/asus-tuf-rtx5060ti-o8g-gaming/p502665354/
"Відеокарта MSI PCI-Ex GeForce RTX 5070 Ventus 2X OC 12GB GDDR7 (192bit) (2557/28000) (HDMI, 3 x DisplayPort) (RV532-003R)",,Є в наявності,https://hard.rozetka.com.ua/ua/msi-v532-003r/p507950004/
"Відеокарта Gigabyte PCI-Ex GeForce RTX 5070 Eagle OC ICE 12GB GDDR7 (192bit) (28000) (HDMI, 3 x DisplayPort) (GV-N5070EAGLEOC ICE-12GD)",33 999₴,Є в наявності,https://hard.rozetka.com.ua/ua/gigabyte-gv-n5070eagleoc-ice-12gd/p476638314/
"Відеокарта Zotac PCI-Ex GeForce RTX 5070 AMP White Edition 12GB GDDR7 (192bit) (2587/28000) (HDMI, 3 x DisplayPort) (ZT-B50700FQ-10P)",,Є в наявності,https://hard.rozetka.com.ua/ua/zotac-zt-b50700j-10p/p507959114/
"Відеокарта ASUS PCI-Ex GeForce RTX 4060 Dual V2 OC Edition 8GB GDDR6 (128bit) (2535/17000) (1 x HDMI, 3 x DisplayPort) (DUAL-RTX4060-O8G-V2)",,Є в наявності,https://hard.rozetka.com.ua/ua/asus-dual-rtx4060-o8g-v2/p437827310/
"Відеокарта ASUS PCI-Ex GeForce RTX 4060 Ti Dual EVO OC Edition 8GB GDDR6 (128bit) (2595/18000) (1 x HDMI, 3 x DisplayPort) (DUAL-RTX4060TI-O8G-EVO)",20 509₴,Є в наявності,https://hard.rozetka.com.ua/ua/asus-dual-rtx4060ti-o8g-evo/p415015629/
"Відеокарта Gigabyte PCI-Ex GeForce RTX 3050 Windforce OC V2 6G 6GB GDDR6 (96bit) (1477/14000) (2 x HDMI, 2 x DisplayPort) (GV-N3050WF2OCV2-6GD)",7 649₴,Є в наявності,https://hard.rozetka.com.ua/ua/gigabyte-gv-n3050wf2ocv2-6gd/p483829289/
"Відеокарта ASUS PCI-Ex GeForce RTX 5080 PRIME OC Edition 16GB GDDR7 (256bit) (HDMI, 3 x DisplayPort) (PRIME-RTX5080-O16G)",63 269₴,Є в наявності,https://hard.rozetka.com.ua/ua/asus-prime-rtx5080-o16g/p471410069/
"Відеокарта ASUS PCI-Ex GeForce RTX 3050 Dual OC Edition 6GB GDDR6 (96bit) (14000) (HDMI, DisplayPort, DVI-D) (DUAL-RTX3050-O6G)",8 819₴,Є в наявності,https://hard.rozetka.com.ua/ua/asus-dual-rtx3050-o6g/p413793495/
"Відеокарта Gigabyte PCI-Ex GeForce RTX 5070 Ti Gaming OC 16GB GDDR7 (256bit) (30000) (HDMI, 3 x DisplayPort) (GV-N507TGAMING OC-16GD)",48 999₴,Є в наявності,https://hard.rozetka.com.ua/ua/gigabyte-gv-n507tgaming-oc-16gd/p476638279/
"Відеокарта INNO3D PCI-Ex GeForce RTX 5080 X3 OC 16GB GDDR7 (256bit) (2640/30000) (HDMI, 3 x DisplayPort) (N50803-16D7X-1760393)",59 509₴,Є в наявності,https://hard.rozetka.com.ua/ua/inno3d-n50803-16d7x-1760393/p495850924/
"Відеокарта Palit PCI-Ex GeForce RTX 5070 GamingPro 12GB GDDR7 (192bit) (2512/28000) (HDMI, 3 x DisplayPort) (NE75070019K9-GB2050A)",30 409₴,Є в наявності,https://hard.rozetka.com.ua/ua/palit-ne75070019k9-gb2050a/p494809589/
